Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,21,16,5,0.762,14.8,6.2,115.9,108.9,7,97.3,0.293,0.407,0.595,0.561,14,26.1,0.222,0.525,13.6,81.9,0.251
2,Miami Heat,21,14,7,0.667,11.8,9.2,113.5,111.5,2,95.9,0.322,0.433,0.587,0.537,12.3,19.1,0.266,0.529,13,77.3,0.215
3,Boston Celtics,17,10,7,0.588,11.2,5.8,111.3,106.3,5,96.4,0.285,0.429,0.572,0.527,12.7,21,0.233,0.49,11.5,80.5,0.234
4,Denver Nuggets,19,9,10,0.474,8.1,10.9,113.6,116,-2.4,94.1,0.26,0.392,0.584,0.545,13.2,23,0.212,0.551,12.7,76.8,0.233
5,Los Angeles Clippers,13,7,6,0.538,8.2,4.8,115.4,111.1,4.3,98,0.291,0.38,0.585,0.544,11.8,21.5,0.232,0.542,12.6,80.6,0.209
6,Toronto Raptors,11,7,4,0.636,6.9,4.1,108.3,104.2,4.1,99.1,0.24,0.455,0.559,0.525,11.8,17.6,0.187,0.507,13.7,82.2,0.211
7,Houston Rockets,12,5,7,0.417,6.3,5.7,108.3,107.5,0.8,98.6,0.235,0.545,0.569,0.535,12.4,14.6,0.186,0.534,15.4,78,0.209
8,Milwaukee Bucks,10,5,5,0.5,5.4,4.6,109.7,108.5,1.2,100.3,0.279,0.426,0.568,0.537,13.2,20.5,0.202,0.527,13.5,83.8,0.241
9,Oklahoma City Thunder,7,3,4,0.429,2.1,4.9,102.4,108.7,-6.3,100.1,0.281,0.428,0.542,0.5,15,20.1,0.217,0.535,11.5,84.6,0.146
10,Utah Jazz,7,3,4,0.429,4.2,2.8,122.2,118.5,3.7,91.5,0.284,0.455,0.616,0.583,11.5,22.8,0.22,0.554,11.4,75.1,0.169
11,Dallas Mavericks,6,2,4,0.333,1.5,4.5,112.7,122,-9.3,102.1,0.297,0.421,0.58,0.549,11.2,16.9,0.215,0.579,10.5,80.4,0.248
12,Orlando Magic,5,1,4,0.2,1.2,3.8,102.5,111.3,-8.8,104.4,0.237,0.449,0.547,0.505,13,13.5,0.199,0.572,14.5,82,0.177
13,Portland Trail Blazers,5,1,4,0.2,1,4,104.6,115,-10.4,101.9,0.283,0.347,0.537,0.492,13.9,21.4,0.224,0.552,13,72.7,0.222
14,Brooklyn Nets,4,0,4,0,0.3,3.7,102.2,122,-19.8,103.5,0.268,0.504,0.518,0.482,12.4,18.1,0.195,0.592,10.6,79.1,0.203
15,Indiana Pacers,4,0,4,0,0.8,3.2,104.2,115.1,-10.9,96.7,0.252,0.399,0.565,0.53,14.6,13.7,0.196,0.545,13.2,76.9,0.288
16,Philadelphia 76ers,4,0,4,0,0.7,3.3,105.5,117.9,-12.4,95.2,0.381,0.36,0.512,0.443,10.9,26.8,0.31,0.523,9.7,77.6,0.255
