Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,20,16,4,0.8,12.9,7.1,107.6,103.1,4.5,88.9,0.317,0.256,0.547,0.508,13.7,26.4,0.229,0.471,13.9,72.4,0.228
2,Cleveland Cavaliers,20,12,8,0.6,11.7,8.3,102.5,100,2.5,85.7,0.341,0.217,0.506,0.456,12.9,28.6,0.252,0.464,13.8,76.6,0.233
3,Detroit Pistons,16,10,6,0.625,9.8,6.2,105.2,101.8,3.4,85.8,0.346,0.219,0.522,0.468,13.2,28.7,0.266,0.462,14.3,70.9,0.275
4,Utah Jazz,17,9,8,0.529,9,8,106.9,105.9,1,91,0.349,0.159,0.534,0.486,14.9,31.4,0.261,0.498,14.5,76.1,0.294
5,Chicago Bulls,10,6,4,0.6,5.4,4.6,103.4,102.1,1.3,89.4,0.39,0.22,0.522,0.469,14.7,28.5,0.284,0.475,13.8,73,0.225
6,New Jersey Nets,12,6,6,0.5,6.9,5.1,101.7,99.6,2.1,88.7,0.318,0.284,0.539,0.497,16.1,21.8,0.236,0.463,14.1,76.4,0.257
7,Phoenix Suns,11,6,5,0.545,7.3,3.7,110.6,105.3,5.3,94.1,0.298,0.229,0.562,0.52,13,23.4,0.232,0.492,13.8,71.6,0.213
8,Golden State Warriors,11,5,6,0.455,6.1,4.9,110.9,109.1,1.8,95.3,0.376,0.382,0.563,0.518,13.6,25.5,0.277,0.493,16.9,63.9,0.307
9,Houston Rockets,7,3,4,0.429,2.7,4.3,99.6,103.2,-3.6,87.6,0.363,0.308,0.52,0.46,15,24.3,0.286,0.467,11.8,75,0.194
10,Dallas Mavericks,6,2,4,0.333,1.7,4.3,105.7,112.8,-7.1,93.2,0.371,0.274,0.524,0.466,14.8,31.9,0.287,0.53,14.2,71.9,0.272
11,Toronto Raptors,6,2,4,0.333,1.9,4.1,101,106.9,-5.9,89.9,0.347,0.197,0.536,0.478,14.8,19,0.279,0.521,15.7,76.3,0.235
12,Denver Nuggets,5,1,4,0.2,1.4,3.6,100.7,107.5,-6.8,87.6,0.264,0.181,0.498,0.452,14.6,31.6,0.207,0.493,11.9,71.7,0.149
13,Los Angeles Lakers,5,1,4,0.2,1,4,103.8,114.8,-11,94.4,0.251,0.23,0.513,0.479,13.7,31.4,0.181,0.528,11.5,74.9,0.225
14,Miami Heat,4,0,4,0,0.7,3.3,96.9,108.9,-12,91.6,0.365,0.227,0.512,0.482,14.5,19.6,0.224,0.505,13.9,74.3,0.257
15,Orlando Magic,4,0,4,0,0.8,3.2,102.9,113.5,-10.6,85.5,0.394,0.1,0.519,0.495,14.8,28.3,0.228,0.495,10.7,71.2,0.33
16,Washington Wizards,4,0,4,0,0.9,3.1,103.5,113.4,-9.9,88.4,0.262,0.247,0.494,0.45,8.6,21.9,0.202,0.49,12.8,67.7,0.326
