Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Miami Heat,23,16,7,0.696,16.6,6.4,110.2,102.9,7.3,87.3,0.303,0.264,0.559,0.518,13.1,25.2,0.232,0.48,15.6,71.1,0.237
2,San Antonio Spurs,21,15,6,0.714,15.4,5.6,108.7,101.1,7.6,89.6,0.261,0.253,0.547,0.511,12.3,23.3,0.199,0.475,12.8,73.8,0.162
3,Indiana Pacers,19,11,8,0.579,9.6,9.4,104.5,104.4,0.1,87.3,0.384,0.258,0.528,0.475,15.9,32.4,0.284,0.473,11.4,76.8,0.222
4,Memphis Grizzlies,15,8,7,0.533,7.8,7.2,105,104.3,0.7,88.4,0.357,0.182,0.502,0.447,10.2,27.2,0.267,0.493,13.8,77.5,0.219
5,Golden State Warriors,12,6,6,0.5,6.1,5.9,106.4,106.2,0.2,94,0.258,0.265,0.546,0.513,14.9,27.5,0.19,0.483,11.9,75,0.234
6,New York Knicks,12,6,6,0.5,7.3,4.7,101.4,98.3,3.1,86.6,0.222,0.288,0.498,0.46,11.5,24.2,0.174,0.47,17.1,76.5,0.276
7,Chicago Bulls,12,5,7,0.417,3.3,8.7,102.5,110,-7.5,87.4,0.287,0.213,0.511,0.472,13.7,28.4,0.206,0.501,11.9,74.5,0.255
8,Oklahoma City Thunder,11,5,6,0.455,6,5,105.1,103.7,1.4,92.8,0.295,0.303,0.534,0.479,12.9,23,0.247,0.468,12.5,76,0.254
9,Brooklyn Nets,7,3,4,0.429,4,3,107.8,105.6,2.2,88.3,0.304,0.232,0.524,0.479,10.9,27.4,0.23,0.497,12.4,74,0.171
10,Atlanta Hawks,6,2,4,0.333,1.9,4.1,98,103.6,-5.6,91.2,0.338,0.241,0.503,0.462,12,18.6,0.231,0.455,14.4,70,0.284
11,Boston Celtics,6,2,4,0.333,1.8,4.2,92.9,98.9,-6,87.1,0.312,0.3,0.525,0.463,18.1,14,0.268,0.462,12.7,76.3,0.17
12,Denver Nuggets,6,2,4,0.333,2.2,3.8,105.9,110.2,-4.3,97.2,0.35,0.265,0.526,0.479,12.9,26.3,0.255,0.554,17,72.9,0.209
13,Houston Rockets,6,2,4,0.333,1.9,4.1,105.3,111.4,-6.1,95,0.342,0.416,0.537,0.496,14.5,24.8,0.243,0.511,12,77.2,0.258
14,Los Angeles Clippers,6,2,4,0.333,1.9,4.1,107.5,113.8,-6.3,88,0.314,0.254,0.552,0.506,13.5,24.3,0.246,0.486,10.2,73.3,0.344
15,Los Angeles Lakers,4,0,4,0,0.2,3.8,92.5,112.9,-20.4,92.1,0.237,0.237,0.495,0.474,16.1,20.2,0.144,0.527,9.8,78.3,0.185
16,Milwaukee Bucks,4,0,4,0,0.4,3.6,94,110.3,-16.3,90.7,0.264,0.3,0.498,0.472,15.9,21.1,0.166,0.544,16.5,70.7,0.255
