Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,23,15,8,0.652,13.4,9.6,110.1,107.5,2.6,90.3,0.393,0.192,0.529,0.498,11.4,30.6,0.245,0.476,12.1,73.7,0.289
2,Indiana Pacers,23,13,10,0.565,13.7,9.3,109.7,106.8,2.9,89,0.322,0.239,0.545,0.488,11.4,25.1,0.267,0.481,11.2,73,0.22
3,Portland Trail Blazers,16,10,6,0.625,10.8,5.2,107.7,102.2,5.5,85.9,0.386,0.2,0.541,0.481,12.9,25.9,0.303,0.478,13.4,75,0.248
4,New York Knicks,16,9,7,0.563,7.3,8.7,99.8,101.1,-1.3,84,0.318,0.158,0.512,0.462,12.5,20.3,0.243,0.442,12.5,73.3,0.25
5,Miami Heat,10,6,4,0.6,6.1,3.9,97.4,94.4,3,84.6,0.328,0.202,0.493,0.451,14.1,25.7,0.227,0.431,13.5,80.8,0.269
6,Philadelphia 76ers,10,5,5,0.5,4.5,5.5,106.5,108,-1.5,87.5,0.369,0.154,0.507,0.452,12,31.2,0.274,0.49,13.1,72.4,0.256
7,Phoenix Suns,9,4,5,0.444,3.2,5.8,96.6,100.6,-4,90.5,0.274,0.204,0.474,0.435,14.3,30.3,0.192,0.436,13.3,68.9,0.305
8,Utah Jazz,10,4,6,0.4,3.2,6.8,100.6,106.2,-5.6,87.8,0.318,0.165,0.519,0.475,14.9,26.4,0.235,0.483,13.9,72.1,0.264
9,Milwaukee Bucks,5,2,3,0.4,2.8,2.2,107.5,105.5,2,89.3,0.266,0.14,0.52,0.479,11.3,28.5,0.203,0.446,11,70.4,0.262
10,Sacramento Kings,5,2,3,0.4,1.2,3.8,105,113.7,-8.7,91.8,0.37,0.215,0.512,0.456,11.3,26.3,0.279,0.488,10,62,0.195
11,Seattle SuperSonics,5,2,3,0.4,2.3,2.7,104.5,105.8,-1.3,89.2,0.291,0.206,0.519,0.481,14,28.7,0.209,0.508,15.5,71.9,0.214
12,Charlotte Hornets,4,1,3,0.25,1.6,2.4,104.6,107.8,-3.2,85,0.36,0.2,0.525,0.46,15.1,32.9,0.297,0.466,12.3,70.1,0.244
13,Minnesota Timberwolves,4,1,3,0.25,1.7,2.3,103.4,105.8,-2.4,82.5,0.229,0.127,0.506,0.467,12.2,27.9,0.18,0.476,13.5,73.9,0.265
14,San Antonio Spurs,4,1,3,0.25,1.8,2.2,90,91.4,-1.4,90.8,0.401,0.145,0.457,0.391,15.4,26.5,0.293,0.421,14.5,70.8,0.149
15,Detroit Pistons,3,0,3,0,0.5,2.5,88.7,100.2,-11.5,89.8,0.389,0.168,0.49,0.435,17.3,15.4,0.279,0.512,17.1,77.3,0.233
16,Toronto Raptors,3,0,3,0,1,2,97.3,101.9,-4.6,86,0.419,0.212,0.477,0.403,14.1,30.7,0.324,0.493,16.7,79.5,0.323
