Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Cleveland Cavaliers,21,16,5,0.762,16.1,4.9,115.5,106,9.5,90.7,0.267,0.37,0.573,0.544,12,26.8,0.193,0.51,12.8,79,0.189
2,Golden State Warriors,24,15,9,0.625,15.4,8.6,110.5,106.1,4.4,97,0.272,0.379,0.562,0.529,12.7,23.9,0.2,0.481,13.1,72.4,0.226
3,Oklahoma City Thunder,18,11,7,0.611,12.1,5.9,111.8,106.2,5.6,95.2,0.326,0.295,0.551,0.501,12.6,29.6,0.256,0.499,11.5,78.7,0.191
4,Toronto Raptors,20,10,10,0.5,7,13,102.8,107.5,-4.7,89.4,0.301,0.282,0.507,0.463,12.4,25.1,0.222,0.514,13.6,77.3,0.237
5,Miami Heat,14,7,7,0.5,8.6,5.4,105.1,101.7,3.4,90.2,0.264,0.238,0.539,0.5,12.8,23,0.202,0.451,10.4,80.5,0.241
6,San Antonio Spurs,10,6,4,0.6,7.9,2.1,111,101.1,9.9,91.9,0.248,0.232,0.557,0.519,11.2,20.3,0.199,0.467,14.2,71.7,0.208
7,Portland Trail Blazers,11,5,6,0.455,4.6,6.4,108.1,110.7,-2.6,96.2,0.287,0.351,0.523,0.483,11.5,26.6,0.212,0.507,10.1,75.5,0.22
8,Atlanta Hawks,10,4,6,0.4,4.7,5.3,103.5,104.5,-1,95.7,0.242,0.375,0.533,0.494,13.3,20.7,0.192,0.487,12.7,75,0.175
9,Charlotte Hornets,7,3,4,0.429,1.5,5.5,99.2,109,-9.8,91,0.309,0.231,0.494,0.432,9.4,15.9,0.259,0.517,11.8,75.9,0.186
10,Indiana Pacers,7,3,4,0.429,3.9,3.1,105.5,103.9,1.6,88.8,0.319,0.284,0.549,0.495,14.5,23.5,0.261,0.437,12.8,67.2,0.246
11,Boston Celtics,6,2,4,0.333,1.7,4.3,93.8,100.5,-6.7,98.3,0.235,0.352,0.475,0.432,12.9,21.5,0.184,0.481,13.3,80.6,0.191
12,Los Angeles Clippers,6,2,4,0.333,3.2,2.8,104.9,103.9,1,93.7,0.345,0.229,0.502,0.471,9,23.5,0.216,0.467,12,71.3,0.193
13,Dallas Mavericks,5,1,4,0.2,0.4,4.6,102.1,122,-19.9,91.8,0.298,0.264,0.511,0.474,11.4,21.5,0.207,0.537,12,65.5,0.278
14,Houston Rockets,5,1,4,0.2,0.3,4.7,92.7,111.8,-19.1,98.4,0.32,0.332,0.467,0.43,16.3,29.9,0.206,0.552,12.9,77.1,0.199
15,Detroit Pistons,4,0,4,0,0.9,3.1,109.4,119.2,-9.8,86.8,0.292,0.309,0.559,0.537,11,18.4,0.189,0.546,8.6,75.5,0.147
16,Memphis Grizzlies,4,0,4,0,0.1,3.9,90.9,115.6,-24.7,89.1,0.215,0.197,0.455,0.423,14.8,28.8,0.151,0.552,13.7,77.3,0.246
