Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Golden State Warriors,21,16,5,0.762,15.8,5.2,108.7,100.5,8.2,93.7,0.263,0.362,0.55,0.521,13.5,26.2,0.184,0.458,13.1,75.3,0.228
2,Cleveland Cavaliers,20,14,6,0.7,12.8,7.2,107.4,103.1,4.3,90.7,0.325,0.347,0.524,0.479,12,28.1,0.24,0.467,11.1,77.5,0.209
3,Houston Rockets,17,9,8,0.529,7.2,9.8,106.6,109,-2.4,101.5,0.44,0.33,0.544,0.505,13.5,23.8,0.288,0.514,12.5,74.4,0.21
4,Atlanta Hawks,16,8,8,0.5,7.9,8.1,103.4,103.6,-0.2,93.5,0.227,0.335,0.521,0.484,11.9,21.6,0.178,0.486,12.9,74.7,0.184
5,Los Angeles Clippers,14,7,7,0.5,7.6,6.4,108.4,107.1,1.3,98.7,0.361,0.3,0.548,0.515,11.8,21.3,0.241,0.505,12.5,75,0.25
6,Chicago Bulls,12,6,6,0.5,7.5,4.5,104.4,100.7,3.7,90.4,0.257,0.294,0.515,0.474,13.1,26.8,0.199,0.452,11.8,74.3,0.198
7,Memphis Grizzlies,11,6,5,0.545,5,6,103,104.4,-1.4,91.9,0.27,0.166,0.503,0.451,10.5,23.7,0.225,0.501,14.1,77.2,0.192
8,Washington Wizards,10,6,4,0.6,6.3,3.7,105.8,101.7,4.1,94.6,0.28,0.276,0.533,0.497,13.3,26.8,0.202,0.47,12.2,77.2,0.177
9,San Antonio Spurs,7,3,4,0.429,3.6,3.4,107.8,107.3,0.5,94.5,0.298,0.307,0.536,0.505,11.2,24.8,0.203,0.509,11.5,78.6,0.224
10,Brooklyn Nets,6,2,4,0.333,1.9,4.1,100.8,106.5,-5.7,94,0.251,0.289,0.522,0.486,13.4,21,0.186,0.505,12.3,77.8,0.161
11,Milwaukee Bucks,6,2,4,0.333,0.8,5.2,91.8,104.6,-12.8,93.1,0.236,0.206,0.455,0.419,11.9,23.9,0.166,0.504,15.7,73.5,0.2
12,Dallas Mavericks,5,1,4,0.2,1.9,3.1,107.9,112,-4.1,101.9,0.274,0.265,0.534,0.493,12.1,28.1,0.209,0.52,12.4,75.1,0.291
13,Portland Trail Blazers,5,1,4,0.2,1.4,3.6,101.9,109.3,-7.4,92,0.258,0.313,0.504,0.455,11.1,22.2,0.213,0.465,7.9,78.1,0.254
14,Boston Celtics,4,0,4,0,0.9,3.1,101.5,111.5,-10,93.3,0.308,0.26,0.504,0.453,12.6,22.2,0.239,0.498,11.8,71.9,0.303
15,New Orleans Pelicans,4,0,4,0,1,3,106.8,115.2,-8.4,92,0.264,0.252,0.536,0.491,12.6,24.9,0.214,0.516,11,69.1,0.211
16,Toronto Raptors,4,0,4,0,0.5,3.5,99.3,113.7,-14.4,94.5,0.241,0.283,0.493,0.459,10.9,19,0.173,0.547,13.3,73,0.25
