Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,16,15,1,0.938,13.8,2.2,111.6,97.9,13.7,92,0.375,0.194,0.542,0.505,12.8,33,0.254,0.433,13.1,74.1,0.249
2,Philadelphia 76ers,23,12,11,0.522,11.4,11.6,105.7,105.8,-0.1,87,0.332,0.141,0.498,0.445,11.8,32.7,0.253,0.486,13.3,71.5,0.201
3,Milwaukee Bucks,18,10,8,0.556,9.9,8.1,107.8,106.2,1.6,88.3,0.294,0.218,0.526,0.476,12.5,30.4,0.235,0.447,10.8,68.8,0.242
4,San Antonio Spurs,13,7,6,0.538,6.3,6.7,102.2,102.6,-0.4,89.6,0.353,0.2,0.521,0.475,13.7,25,0.253,0.442,11.1,70.7,0.202
5,Charlotte Hornets,10,6,4,0.6,7.2,2.8,108,100.9,7.1,88.6,0.402,0.154,0.521,0.462,11.6,30.3,0.301,0.47,14.7,73.8,0.211
6,Toronto Raptors,12,6,6,0.5,6.4,5.6,106,105,1,86.9,0.262,0.19,0.52,0.481,13.3,29.4,0.198,0.477,13.8,71.4,0.259
7,Dallas Mavericks,10,4,6,0.4,3.7,6.3,104.2,108.4,-4.2,88.5,0.317,0.213,0.501,0.436,11.2,27,0.269,0.491,13.1,69.7,0.255
8,Sacramento Kings,8,3,5,0.375,4,4,101.5,101.3,0.2,96.2,0.333,0.166,0.495,0.432,14.4,32,0.272,0.448,13,69.9,0.256
9,New York Knicks,5,2,3,0.4,1.9,3.1,101.3,105,-3.7,87.8,0.328,0.165,0.545,0.496,15.2,22.4,0.255,0.462,13.3,70.1,0.231
10,Utah Jazz,5,2,3,0.4,1.7,3.3,103.8,108.6,-4.8,86.3,0.332,0.141,0.503,0.447,12,30.3,0.257,0.468,13.1,75,0.332
11,Indiana Pacers,4,1,3,0.25,1.1,2.9,100.3,107.5,-7.2,87,0.228,0.222,0.482,0.436,12.1,26.4,0.188,0.444,10.6,65.9,0.277
12,Minnesota Timberwolves,4,1,3,0.25,1,3,93.5,100.9,-7.4,87.7,0.27,0.126,0.461,0.406,12.5,25,0.22,0.47,14.1,75.9,0.257
13,Orlando Magic,4,1,3,0.25,1.3,2.7,107.9,113.9,-6,92.8,0.273,0.228,0.511,0.479,10.1,27.4,0.187,0.453,10.3,63.4,0.334
14,Phoenix Suns,4,1,3,0.25,0.8,3.2,92.2,102.1,-9.9,96,0.254,0.19,0.445,0.404,12.1,27.7,0.182,0.434,15.1,65.8,0.282
15,Miami Heat,3,0,3,0,0.1,2.9,87.5,112.4,-24.9,89.6,0.267,0.23,0.484,0.447,18.8,18.8,0.189,0.496,13.6,69.7,0.363
16,Portland Trail Blazers,3,0,3,0,0.3,2.7,97.3,113.4,-16.1,91.4,0.341,0.266,0.507,0.454,14.6,22.1,0.258,0.486,10.6,65.6,0.237
