Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,24,16,8,0.667,16.7,7.3,103.7,97.7,6,91,0.399,0.198,0.525,0.476,14.4,28.6,0.284,0.439,14,73.4,0.216
2,New Jersey Nets,20,14,6,0.7,12.5,7.5,102.6,98.9,3.7,89.9,0.336,0.165,0.506,0.453,14.1,30.9,0.256,0.464,14.8,76.7,0.252
3,Dallas Mavericks,20,10,10,0.5,9.6,10.4,110.5,111.1,-0.6,93.2,0.245,0.269,0.546,0.503,11.6,25,0.203,0.494,12.5,70.4,0.286
4,Detroit Pistons,17,8,9,0.471,9.1,7.9,102.7,101.7,1,86.5,0.416,0.258,0.515,0.455,13.3,25.5,0.308,0.459,14.8,70.6,0.253
5,Sacramento Kings,12,7,5,0.583,6.9,5.1,112,109.6,2.4,94.7,0.341,0.215,0.549,0.499,12,29.3,0.265,0.495,12.7,70.7,0.216
6,Los Angeles Lakers,12,6,6,0.5,6.1,5.9,107.1,106.9,0.2,92.8,0.313,0.24,0.529,0.491,12.7,27.9,0.222,0.5,13.1,76.2,0.251
7,Philadelphia 76ers,12,6,6,0.5,6.4,5.6,105.8,104.8,1,85.6,0.345,0.141,0.527,0.468,14.5,31.3,0.277,0.473,13.8,72.3,0.268
8,Boston Celtics,10,4,6,0.4,4.8,5.2,101.4,102.1,-0.7,90.4,0.303,0.307,0.528,0.477,14.2,20.8,0.243,0.449,14,73,0.311
9,Orlando Magic,7,3,4,0.429,1.7,5.3,99.5,107.8,-8.3,88,0.357,0.223,0.517,0.459,15.3,24.7,0.279,0.462,13,69.2,0.328
10,Portland Trail Blazers,7,3,4,0.429,3.7,3.3,115.2,114.1,1.1,87.9,0.373,0.215,0.551,0.501,13,36.3,0.28,0.507,11.1,72.7,0.228
11,Indiana Pacers,6,2,4,0.333,1.8,4.2,100.9,107.1,-6.2,88.8,0.418,0.227,0.496,0.422,13.3,29.4,0.33,0.492,12.3,79.2,0.251
12,Milwaukee Bucks,6,2,4,0.333,2.1,3.9,105.8,110.5,-4.7,90.9,0.312,0.214,0.541,0.499,12.9,21,0.233,0.494,14.7,65.3,0.306
13,Minnesota Timberwolves,6,2,4,0.333,1.8,4.2,104.2,110.8,-6.6,94.8,0.319,0.173,0.544,0.492,14.6,22.6,0.257,0.498,10.7,70.9,0.211
14,New Orleans Hornets,6,2,4,0.333,2.6,3.4,106.4,108.3,-1.9,87.2,0.328,0.222,0.526,0.479,14.2,31.5,0.244,0.471,14,68.5,0.306
15,Phoenix Suns,6,2,4,0.333,1.8,4.2,91.5,97.3,-5.8,91.4,0.265,0.187,0.456,0.414,14.8,27.8,0.189,0.438,16.8,67.4,0.302
16,Utah Jazz,5,1,4,0.2,0.9,4.1,104.2,116.1,-11.9,89.2,0.386,0.087,0.511,0.446,15.3,35.4,0.303,0.516,12.9,65.3,0.272
