Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Golden State Warriors,17,16,1,0.941,14.3,2.7,119,105.5,13.5,100.3,0.292,0.378,0.608,0.567,12.2,22.4,0.238,0.487,12.3,76.6,0.212
2,Cleveland Cavaliers,18,13,5,0.722,13.1,4.9,120.3,112.1,8.2,96.6,0.316,0.408,0.614,0.579,12.1,23.6,0.242,0.521,11.9,76.1,0.189
3,Boston Celtics,18,9,9,0.5,7.3,10.7,111.4,114.5,-3.1,93.9,0.242,0.41,0.566,0.532,12.6,22.2,0.187,0.531,13.1,71.5,0.227
4,San Antonio Spurs,16,8,8,0.5,8.5,7.5,113.4,112.3,1.1,93.2,0.277,0.282,0.551,0.512,11.6,29.1,0.214,0.539,13.1,78.5,0.208
5,Washington Wizards,13,7,6,0.538,6.5,6.5,110.9,110.9,0,96.7,0.281,0.302,0.549,0.505,12.3,26.6,0.223,0.525,13.3,76.2,0.244
6,Houston Rockets,11,6,5,0.545,5.9,5.1,110.7,109.5,1.2,96.4,0.304,0.452,0.559,0.514,12.7,22.7,0.24,0.502,11.1,71.7,0.187
7,Toronto Raptors,10,4,6,0.4,3.1,6.9,103.8,109.9,-6.1,93.1,0.283,0.296,0.541,0.493,12.6,17.3,0.23,0.539,13.2,81.3,0.222
8,Utah Jazz,11,4,7,0.364,3.7,7.3,106.2,111.3,-5.1,92.1,0.298,0.331,0.552,0.515,12,16.7,0.218,0.533,11.4,81.3,0.224
9,Los Angeles Clippers,7,3,4,0.429,3.2,3.8,108.8,110,-1.2,89.8,0.312,0.304,0.558,0.526,12.2,19.9,0.217,0.542,12.4,82.1,0.223
10,Atlanta Hawks,6,2,4,0.333,2.8,3.2,107.3,108.5,-1.2,98.4,0.343,0.323,0.542,0.493,14.1,26.4,0.262,0.502,11.8,77.3,0.227
11,Chicago Bulls,6,2,4,0.333,1.7,4.3,104.8,112.2,-7.4,92.1,0.24,0.285,0.529,0.483,14.4,29.6,0.204,0.534,11.8,78.5,0.163
12,Memphis Grizzlies,6,2,4,0.333,1.4,4.6,110.3,119.8,-9.5,85.8,0.263,0.313,0.559,0.51,11.6,20.3,0.229,0.545,11.4,73.9,0.266
13,Milwaukee Bucks,6,2,4,0.333,2.9,3.1,103,103.7,-0.7,90.5,0.267,0.277,0.533,0.503,13.2,19.1,0.186,0.494,14.4,80.6,0.279
14,Oklahoma City Thunder,5,1,4,0.2,1.2,3.8,105.7,114.4,-8.7,98.6,0.309,0.309,0.525,0.49,11.4,26,0.213,0.513,13.1,74.8,0.32
15,Indiana Pacers,4,0,4,0,1.5,2.5,114.7,118.9,-4.2,94.8,0.247,0.33,0.564,0.53,12.1,28.3,0.19,0.565,11.9,75.2,0.233
16,Portland Trail Blazers,4,0,4,0,0.4,3.6,99.3,116.9,-17.6,102.3,0.271,0.38,0.507,0.458,13.2,20.6,0.218,0.556,11.1,81,0.258
