Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Dallas Mavericks,21,16,5,0.762,14.7,6.3,112.9,106.3,6.6,86.6,0.339,0.297,0.571,0.519,13,25.1,0.274,0.482,13.5,71.7,0.245
2,Miami Heat,21,14,7,0.667,12.6,8.4,106.4,103.4,3,86.3,0.379,0.244,0.542,0.485,13.9,26,0.295,0.475,13,75.4,0.215
3,Chicago Bulls,16,9,7,0.563,10.5,5.5,105.8,100.9,4.9,86.9,0.288,0.238,0.51,0.461,13.1,32.3,0.226,0.462,13.9,76.1,0.256
4,Oklahoma City Thunder,17,9,8,0.529,9.6,7.4,109.5,107.5,2,90.8,0.393,0.25,0.548,0.482,14.2,31.3,0.321,0.46,11.4,74.4,0.305
5,Memphis Grizzlies,13,7,6,0.538,6.2,6.8,105.4,106.1,-0.7,90,0.335,0.144,0.512,0.46,11.9,28.1,0.255,0.482,14.3,72.2,0.289
6,Atlanta Hawks,12,6,6,0.5,4,8,100.4,105.5,-5.1,85.9,0.289,0.184,0.505,0.464,12.7,22.9,0.21,0.47,12.4,70.6,0.233
7,Boston Celtics,9,5,4,0.556,4.9,4.1,105.1,103.6,1.5,89.1,0.262,0.208,0.552,0.514,15.4,23.6,0.204,0.466,14.2,72.1,0.276
8,Los Angeles Lakers,10,4,6,0.4,4.5,5.5,107.8,109.3,-1.5,86.5,0.315,0.213,0.526,0.477,12.4,30.8,0.244,0.524,13.7,78.8,0.245
9,New Orleans Hornets,6,2,4,0.333,1.5,4.5,104.7,113.1,-8.4,85.3,0.36,0.195,0.537,0.488,13.4,21.2,0.267,0.5,12.9,67.7,0.295
10,Orlando Magic,6,2,4,0.333,3.4,2.6,102.4,100.3,2.1,86.6,0.367,0.31,0.503,0.449,12.7,28.9,0.27,0.465,13.1,76.6,0.205
11,Portland Trail Blazers,6,2,4,0.333,1.9,4.1,106.3,112.5,-6.2,83,0.294,0.228,0.534,0.487,12.2,24.4,0.23,0.507,12.5,71.5,0.253
12,San Antonio Spurs,6,2,4,0.333,2.3,3.7,102.2,105.6,-3.4,90.8,0.369,0.235,0.526,0.471,13.8,23.6,0.281,0.498,13.1,76.8,0.238
13,Denver Nuggets,5,1,4,0.2,1.7,3.3,103.4,108.5,-5.1,94.2,0.468,0.239,0.525,0.468,11.6,17.2,0.33,0.468,12.5,70.8,0.343
14,Indiana Pacers,5,1,4,0.2,1.2,3.8,100.2,108.5,-8.3,90,0.304,0.192,0.496,0.445,14.3,29.1,0.234,0.461,14.8,63.2,0.291
15,Philadelphia 76ers,5,1,4,0.2,1.2,3.8,100.7,109.3,-8.6,86,0.213,0.201,0.485,0.453,10.6,23.9,0.154,0.462,11.3,69.1,0.303
16,New York Knicks,4,0,4,0,0.9,3.1,99,108.2,-9.2,91.7,0.298,0.286,0.483,0.435,14,30.7,0.223,0.52,15.7,69.3,0.174
