Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,23,16,7,0.696,16.9,6.1,111.4,103.5,7.9,91.1,0.342,0.229,0.553,0.508,12.3,27.1,0.255,0.471,13.7,73.8,0.27
2,Orlando Magic,24,13,11,0.542,13.6,10.4,107.3,105.3,2,89.2,0.36,0.309,0.555,0.513,13.1,21.6,0.26,0.488,12.7,77.2,0.232
3,Cleveland Cavaliers,14,10,4,0.714,10.9,3.1,112.6,102.7,9.9,86.1,0.383,0.263,0.556,0.507,12.3,27.6,0.284,0.48,12.5,78.3,0.23
4,Denver Nuggets,16,10,6,0.625,12.2,3.8,116.8,107.5,9.3,92.4,0.426,0.269,0.579,0.526,11.5,26.4,0.324,0.493,14.8,74.7,0.326
5,Boston Celtics,14,7,7,0.5,7,7,106.3,106.3,0,91.4,0.309,0.222,0.535,0.485,12.5,25.1,0.245,0.493,13.3,77.8,0.265
6,Houston Rockets,13,7,6,0.538,5.8,7.2,104.7,106.4,-1.7,87.4,0.288,0.265,0.533,0.49,14.2,24.8,0.221,0.487,11.6,73.7,0.21
7,Dallas Mavericks,10,5,5,0.5,4.7,5.3,113,114,-1,89.9,0.375,0.272,0.576,0.518,12.8,24.7,0.305,0.525,11,77.4,0.271
8,Atlanta Hawks,11,4,7,0.364,2.7,8.3,102,110.6,-8.6,82.4,0.323,0.238,0.499,0.45,12.6,26.1,0.241,0.514,14.4,69.8,0.263
9,Chicago Bulls,7,3,4,0.429,2.6,4.4,105.9,110.1,-4.2,92.6,0.343,0.221,0.54,0.483,13.9,24.3,0.277,0.495,11.6,73.2,0.243
10,Miami Heat,7,3,4,0.429,3.7,3.3,106.7,105.6,1.1,82.6,0.324,0.287,0.554,0.501,14.4,25.2,0.265,0.464,12.5,73.1,0.261
11,Philadelphia 76ers,6,2,4,0.333,1.4,4.6,100.5,109.2,-8.7,88,0.276,0.211,0.526,0.492,14.9,21.3,0.196,0.514,12.9,74.2,0.237
12,Portland Trail Blazers,6,2,4,0.333,1.8,4.2,103.9,110.2,-6.3,83.9,0.264,0.19,0.524,0.484,12,23.7,0.201,0.517,12.8,76.1,0.222
13,New Orleans Hornets,5,1,4,0.2,0.1,4.9,93.7,120.7,-27,89.8,0.399,0.262,0.51,0.439,18.2,22.4,0.322,0.563,12.3,73.5,0.29
14,San Antonio Spurs,5,1,4,0.2,1.4,3.6,105.4,112.4,-7,85.7,0.269,0.23,0.528,0.495,11.4,21.3,0.191,0.516,12.1,76.6,0.274
15,Utah Jazz,5,1,4,0.2,1.1,3.9,104.2,114.1,-9.9,93.4,0.373,0.18,0.517,0.463,13.4,30.4,0.277,0.546,14.6,73.5,0.271
16,Detroit Pistons,4,0,4,0,0.3,3.7,93.6,112.2,-18.6,83.3,0.188,0.159,0.468,0.429,11.9,19.7,0.156,0.498,11.7,73.2,0.349
