Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Miami Heat,23,16,7,0.696,17.1,5.9,109.6,101.6,8,88,0.364,0.258,0.552,0.505,12.8,26.1,0.271,0.466,14,74,0.229
2,Oklahoma City Thunder,20,13,7,0.65,12.7,7.3,111.8,107.4,4.4,90.6,0.306,0.24,0.558,0.508,11.3,23.6,0.251,0.491,13.7,74.7,0.262
3,Boston Celtics,20,11,9,0.55,10.8,9.2,100.4,99.2,1.2,87.8,0.28,0.211,0.516,0.468,13,20.1,0.224,0.464,13.4,75.1,0.203
4,San Antonio Spurs,14,10,4,0.714,9.8,4.2,110.3,103.9,6.4,92.4,0.29,0.287,0.574,0.541,13.8,21.8,0.212,0.48,12.6,74.8,0.216
5,Philadelphia 76ers,13,7,6,0.538,5.9,7.1,96.9,98.3,-1.4,88.5,0.312,0.168,0.482,0.436,11.5,23.9,0.225,0.459,14.1,76.8,0.198
6,Indiana Pacers,11,6,5,0.545,6.1,4.9,102.4,100.9,1.5,88,0.289,0.225,0.507,0.461,14.4,29.8,0.223,0.469,13.2,75.2,0.217
7,Los Angeles Lakers,12,5,7,0.417,4.2,7.8,105.4,110,-4.6,89.2,0.285,0.207,0.502,0.454,11.8,31,0.221,0.474,9.7,69.7,0.2
8,Los Angeles Clippers,11,4,7,0.364,3.7,7.3,101.3,106.5,-5.2,88.9,0.315,0.217,0.53,0.499,14.7,22.2,0.21,0.491,14.5,71,0.268
9,Denver Nuggets,7,3,4,0.429,3.6,3.4,107.1,106.6,0.5,90.3,0.227,0.213,0.492,0.46,10.2,33,0.163,0.461,11,66.7,0.186
10,Memphis Grizzlies,7,3,4,0.429,3.7,3.3,102.8,102,0.8,87.7,0.403,0.155,0.509,0.449,14.7,32.6,0.3,0.493,15,75.9,0.244
11,Atlanta Hawks,6,2,4,0.333,1.9,4.1,91.8,97.1,-5.3,87.9,0.204,0.237,0.475,0.438,15.1,22.6,0.16,0.461,13,82.3,0.211
12,Chicago Bulls,6,2,4,0.333,2.6,3.4,95.7,97.6,-1.9,88.1,0.229,0.157,0.475,0.448,13.9,26.8,0.149,0.428,9.9,78.2,0.248
13,New York Knicks,5,1,4,0.2,0.5,4.5,95.2,111.3,-16.1,86.9,0.297,0.248,0.499,0.451,18.1,30.1,0.226,0.511,13.7,74.1,0.315
14,Orlando Magic,5,1,4,0.2,0.8,4.2,94.8,107,-12.2,86.6,0.244,0.316,0.486,0.452,14,22.6,0.172,0.48,13.3,68.4,0.196
15,Dallas Mavericks,4,0,4,0,1.1,2.9,102.9,110.1,-7.2,90.6,0.343,0.276,0.519,0.455,13.9,24.7,0.285,0.52,12.8,80.5,0.265
16,Utah Jazz,4,0,4,0,0.3,3.7,93.9,111.3,-17.4,91.9,0.306,0.131,0.443,0.395,12.2,32,0.216,0.533,11.6,80.7,0.213
