Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,23,16,7,0.696,15.1,7.9,110,105.1,4.9,87.3,0.367,0.24,0.546,0.5,14.1,31.1,0.267,0.471,12.1,71.4,0.218
2,Detroit Pistons,25,15,10,0.6,17,8,105,99.5,5.5,85.3,0.286,0.176,0.508,0.466,12.1,29.8,0.212,0.47,14.5,74.8,0.219
3,Miami Heat,15,11,4,0.733,9.8,5.2,107.2,102.5,4.7,90.2,0.409,0.211,0.568,0.533,15.1,22.5,0.273,0.449,11.2,73.1,0.241
4,Phoenix Suns,15,9,6,0.6,9.5,5.5,118.2,113.8,4.4,94.1,0.304,0.233,0.582,0.544,11.8,29.2,0.233,0.508,11,68.4,0.19
5,Dallas Mavericks,13,6,7,0.462,5.8,7.2,113.3,115,-1.7,92.1,0.338,0.207,0.544,0.492,12,32.5,0.266,0.525,13,70.1,0.251
6,Indiana Pacers,13,6,7,0.462,5,8,97.7,101.1,-3.4,85.3,0.361,0.243,0.496,0.434,15.1,26.4,0.283,0.463,14.4,71.6,0.235
7,Seattle SuperSonics,11,6,5,0.545,4.8,6.2,111.1,113,-1.9,88.7,0.369,0.203,0.547,0.489,13.3,33.3,0.295,0.493,12.6,69.2,0.286
8,Washington Wizards,10,4,6,0.4,4.1,5.9,105.6,108.2,-2.6,95.1,0.409,0.228,0.515,0.459,12.3,28.9,0.298,0.505,14.6,70.5,0.26
9,Boston Celtics,7,3,4,0.429,3.3,3.7,100.6,101.3,-0.7,85.9,0.306,0.2,0.52,0.475,15.4,26.2,0.231,0.444,15.6,73.6,0.359
10,Houston Rockets,7,3,4,0.429,2.8,4.2,111.7,114.9,-3.2,87.3,0.344,0.236,0.564,0.513,14.2,27.8,0.272,0.498,12.9,66.8,0.316
11,Chicago Bulls,6,2,4,0.333,2.6,3.4,106.3,108.2,-1.9,96.4,0.368,0.274,0.521,0.472,13.4,30,0.266,0.472,12.6,70.3,0.321
12,Denver Nuggets,5,1,4,0.2,0.9,4.1,97.4,108.5,-11.1,90.7,0.387,0.107,0.49,0.431,12.4,23.1,0.285,0.487,13.4,73.4,0.316
13,Philadelphia 76ers,5,1,4,0.2,1.2,3.8,101.2,110.1,-8.9,87.9,0.256,0.244,0.513,0.479,12.6,23.1,0.183,0.512,15.7,69.6,0.26
14,Sacramento Kings,5,1,4,0.2,1.8,3.2,113,117.9,-4.9,90.4,0.285,0.241,0.527,0.479,10.3,30.4,0.227,0.508,12.9,63.9,0.338
15,Memphis Grizzlies,4,0,4,0,0.8,3.2,112,124,-12,91.7,0.194,0.225,0.539,0.517,10.1,26.6,0.137,0.57,10.6,72.5,0.301
16,New Jersey Nets,4,0,4,0,0.6,3.4,100.6,113.9,-13.3,91.4,0.369,0.254,0.491,0.432,11.7,26.5,0.277,0.57,14.7,77.3,0.316
