Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,23,16,7,0.696,14.5,8.5,112.8,108.6,4.2,89.6,0.32,0.255,0.546,0.502,11.9,30.9,0.241,0.475,12,72.4,0.277
2,Boston Celtics,24,15,9,0.625,14.5,9.5,104.8,101.7,3.1,89.2,0.341,0.211,0.539,0.491,13.8,23.1,0.258,0.473,15.2,74.6,0.285
3,Orlando Magic,14,10,4,0.714,11,3,110.8,100.9,9.9,86.5,0.426,0.38,0.574,0.533,14,24.8,0.299,0.458,13.6,77.3,0.269
4,Phoenix Suns,16,10,6,0.625,10.4,5.6,117.8,112.7,5.1,90.9,0.353,0.307,0.582,0.536,12,27.4,0.273,0.512,11.1,72.6,0.242
5,Cleveland Cavaliers,11,6,5,0.545,6,5,108.2,106.8,1.4,92.6,0.42,0.277,0.568,0.517,14.5,22.1,0.311,0.481,11,75.7,0.24
6,Atlanta Hawks,11,4,7,0.364,2.9,8.1,104.3,112.2,-7.9,85.8,0.276,0.171,0.501,0.453,11.6,29.8,0.217,0.515,12.3,72.4,0.224
7,San Antonio Spurs,10,4,6,0.4,3.8,6.2,105.7,109.4,-3.7,90.9,0.339,0.181,0.533,0.494,12.3,24,0.236,0.499,12.7,73.6,0.245
8,Utah Jazz,10,4,6,0.4,4.3,5.7,114,116.4,-2.4,93.9,0.421,0.219,0.568,0.52,12.3,26.5,0.307,0.522,12.1,71,0.327
9,Milwaukee Bucks,7,3,4,0.429,2.5,4.5,105,109.3,-4.3,85.7,0.25,0.268,0.51,0.465,12.3,27.9,0.201,0.482,11.9,66.9,0.201
10,Dallas Mavericks,6,2,4,0.333,2.9,3.1,105.1,105.6,-0.5,88.4,0.294,0.244,0.518,0.468,12.7,28.1,0.233,0.486,12.3,74,0.224
11,Denver Nuggets,6,2,4,0.333,2.8,3.2,113.9,115.1,-1.2,96,0.469,0.231,0.577,0.517,12.6,25.8,0.359,0.548,13.5,76.9,0.357
12,Oklahoma City Thunder,6,2,4,0.333,2.6,3.4,103.6,105.4,-1.8,90.6,0.412,0.236,0.506,0.426,11.9,26.7,0.344,0.488,12.4,73.6,0.196
13,Portland Trail Blazers,6,2,4,0.333,1.1,4.9,106.5,118.3,-11.8,87.3,0.364,0.217,0.522,0.471,11,26.5,0.269,0.536,12.4,71,0.247
14,Chicago Bulls,5,1,4,0.2,1.1,3.9,105,115,-10,92.4,0.265,0.125,0.504,0.457,9.4,25,0.211,0.558,13.2,77,0.249
15,Miami Heat,5,1,4,0.2,1.1,3.9,96.2,105.2,-9,91.1,0.241,0.236,0.513,0.479,17.3,22.6,0.176,0.523,15.6,79.2,0.266
16,Charlotte Bobcats,4,0,4,0,0.8,3.2,100.2,111,-10.8,85.4,0.362,0.241,0.523,0.477,15.9,23,0.259,0.522,13.3,75.2,0.335
